stid,station_name,lat,lon,elev,begints,endts,iem_network
LIRU,Rome,41.9533,12.4999,24,1972-12-31 00:00,,IT__ASOS
LIRV,Viterbo,42.4383,12.055,300,1944-06-30 00:00,,IT__ASOS
LIRX,MONTE CALAMITA,42.73,10.38,297,1972-12-31 00:00,,IT__ASOS
LIRY,Unknown,41.93,12.277,31,2023-07-16 00:00,,IT__ASOS
LIRZ,Perugia,43.0972,12.5103,205,1967-11-06 00:00,,IT__ASOS
LIVC,CIMONE MOUNTAIN,44.1936,10.7,2173,1965-01-31 00:00,,IT__ASOS
LIVD,DOBBIACO,46.73,12.22,1226,1973-01-01 00:00,,IT__ASOS
LIVE,RESIA PASS,46.8333,10.5,1800,1987-03-25 00:00,,IT__ASOS
LIVF,FRONTONE,43.5169,12.7278,574,1973-01-01 00:00,,IT__ASOS
LIVM,POINT MARINA/RAVENN,44.4414,12.2961,6,1966-01-04 00:00,,IT__ASOS
LIVO,TARVISIO,46.5056,13.5861,778,1965-01-28 00:00,,IT__ASOS
LIVP,PAGANELLA MOUNTAIN,46.1434,11.0376,2129,1972-12-31 00:00,,IT__ASOS
LIVR,ROLLE PASS,46.2978,11.7867,2006,1973-01-01 00:00,,IT__ASOS
LIVT,TRIESTE,45.6767,13.7538,20,1932-10-20 00:00,,IT__ASOS
LIYW,AVIANO (USAF),46.0303,12.5992,126,1993-06-30 00:00,2015-10-20 00:00,IT__ASOS
